index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17
0,15180,48,-72,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14720,33,-70,-79,1,0,1,0,0,0,0,0,2000,2000,0,0,0,0
2,8050,30,-81,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,28820,171,-23,40,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
4,12640,57,-63,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,63760,195,-73,-65,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,207930,614,-6,18,2,2,0,0,0,0,0,0,1000,700,0,0,1,0
7,48990,194,-27,-3,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
8,100190,303,54,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,247620,675,4,25,1,1,0,0,0,0,0,0,500,500,0,0,1,0
10,41950,135,-39,-36,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
11,53250,140,-19,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,166180,448,-30,-19,1,1,0,0,0,0,0,0,400,400,0,0,1,0
13,64540,215,0,9,1,0,1,0,0,0,0,0,6000,6000,0,0,0,0
14,75670,207,18,4,1,1,0,0,0,0,0,0,600,600,0,0,0,0
15,225040,575,-3,5,2,0,2,0,0,0,0,0,7000,6000,0,1,1,0
16,31290,117,-52,-41,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,22890,81,-63,-58,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,13170,59,-77,-67,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,8900,38,-83,-77,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,13250,32,-71,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,11710,70,-72,-47,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
22,10640,62,-68,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,45630,155,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
